Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;TOURS;87571000;ANGOULEME;87583005;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;TOURS;87571000;NIORT;87485300;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;TOURS;87571000;PARIS MONTPARNASSE 1 ET 2;87391003;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;BELLEGARDE GARE;87745000;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;SETE;87773200;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;VALENCE VILLE;87761007;CHALON SUR SAONE;87725002;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;VALENCE VILLE;87761007;NARBONNE;87781104;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;VITRY LE FRANCOIS GARE;87174276;PARIS EST;87113001;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;RETHEL;87172270;SEDAN;87172254;2;Tarif Réglementé;12.3;16.4
TGV INOUI;DUNKERQUE;87281006;BETHUNE;87342006;2;Tarif Réglementé;16.4;16.4
TGV INOUI;HAZEBROUCK;87286302;ARRAS;87342014;2;Tarif Réglementé;16.4;16.4
TGV INOUI;MOUCHARD;87718833;MONTBELIARD VILLE;87184523;2;Tarif Réglementé;16.4;16.4
TGV INOUI;DIJON VILLE;87713040;CHALON SUR SAONE;87725002;2;Tarif Normal;6.1;16.5
TGV INOUI;ANCENIS;87481192;PORNICHET;87481747;2;Tarif Avantage;6.4;16.5
TGV INOUI;BELLEGARDE GARE;87745000;ST GERVAIS LES BAINS LE FAYET;87746479;2;Tarif Avantage;6.4;16.5
TGV INOUI;LE POULIGUEN;87481762;ANCENIS;87481192;2;Tarif Avantage;6.4;16.5
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;ORANGE;87765107;2;Tarif Avantage;6.4;16.5
TGV INOUI;DUNKERQUE;87281006;BETHUNE;87342006;2;Tarif Normal;7.1;16.5
TGV INOUI;VITRY LE FRANCOIS GARE;87174276;REIMS;87171009;2;Tarif Normal;7.1;16.5
TGV INOUI;REDON;87471300;VITRE;87471508;2;Tarif Avantage;7.8;16.5
TGV INOUI;CHATELLERAULT;87575142;ST PIERRE DES CORPS;87571240;2;Tarif Réglementé;16.0;16.9
TGV INOUI;DIJON VILLE;87713040;CULMONT CHALINDREY;87142125;2;Tarif Réglementé;16.9;16.9
TGV INOUI;AVIGNON CENTRE;87765008;NIMES;87775007;2;Tarif Normal;7.1;17.0
TGV INOUI;DIJON VILLE;87713040;CULMONT CHALINDREY;87142125;2;Tarif Normal;7.1;17.0
TGV INOUI;LENS;87345025;ST OMER;87281444;2;Tarif Normal;7.1;17.0
TGV INOUI;NICE VILLE;87756056;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;10.0;17.0
TGV INOUI;LANDRY;87741777;VANNES;87476606;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;LORIENT;87476002;ST GERVAIS LES BAINS LE FAYET;87746479;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;SALLANCHES-COMBLOUX-MEGEVE;87746438;AURAY;87476200;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;LORIENT;87476002;2;Tarif Elève - Etudiant - Apprenti;17.0;17.0
TGV INOUI;VERSAILLES CHANTIERS;87393009;VALOGNES;87447284;1;Tarif Normal;22.5;111.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;BOURG EN BRESSE;87743005;2;Tarif Normal;7.1;17.5
TGV INOUI;AGEN;87586008;MONTPELLIER SAINT-ROCH;87773002;1;Tarif Normal;24.5;111.0
TGV INOUI;BEZIERS;87781005;CASTELNAUDARY;87615039;2;Tarif Avantage;7.8;17.5
TGV INOUI;DIJON VILLE;87713040;CHERBOURG;87444877;1;Tarif Réglementé;111.0;111.0
TGV INOUI;LYON PART DIEU;87723197;MOUCHARD;87718833;2;Tarif Avantage;7.8;17.5
TGV INOUI;MULHOUSE VILLE;87182063;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Réglementé;111.0;111.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;MOUCHARD;87718833;2;Tarif Avantage;7.8;17.5
TGV INOUI;AVIGNON TGV;87318964;BESANCON - F COMTE TGV;87300863;1;Tarif Avantage;17.0;112.0
TGV INOUI;TOURS;87571000;LES AUBRAIS;87543017;2;Tarif Avantage;7.8;17.5
TGV INOUI;DOL DE BRETAGNE;87478073;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Avantage;17.0;112.0
TGV INOUI;VERSAILLES CHANTIERS;87393009;BERNAY;87444299;2;Tarif Avantage;7.8;17.5
TGV INOUI;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;ST MALO;87478107;1;Tarif Avantage;17.0;112.0
TGV INOUI;BEZIERS;87781005;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Réglementé;13.3;17.5
TGV INOUI;MACON VILLE;87725689;PERPIGNAN;87784009;1;Tarif Avantage;21.5;112.0
TGV INOUI;VERSAILLES CHANTIERS;87393009;EVREUX  NORMANDIE;87387001;2;Tarif Réglementé;17.5;17.5
TGV INOUI;COLMAR;87182014;MEUSE TGV;87147322;1;Tarif Normal;22.5;112.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;TOULON;87755009;2;Tarif Normal;6.1;18.0
TGV INOUI;AGEN;87586008;NIMES;87775007;1;Tarif Normal;24.5;112.0
TGV INOUI;AVIGNON CENTRE;87765008;LE TEIL;87764472;2;Tarif Normal;7.1;18.0
TGV INOUI;LYON PART DIEU;87723197;NEUFCHATEAU;87141291;1;Tarif Normal;24.5;112.0
TGV INOUI;CHATELLERAULT;87575142;ST PIERRE DES CORPS;87571240;2;Tarif Normal;7.1;18.0
TGV INOUI;LYON PERRACHE;87722025;NEUFCHATEAU;87141291;1;Tarif Normal;24.5;112.0
TGV INOUI;GRENOBLE;87747006;AIX LES BAINS - LE REVARD;87741132;2;Tarif Normal;7.1;18.0
TGV INOUI;MACON VILLE;87725689;TOUL;87141044;1;Tarif Normal;24.5;112.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;BOURG EN BRESSE;87743005;2;Tarif Avantage;8.6;18.0
TGV INOUI;CULMONT CHALINDREY;87142125;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Réglementé;112.0;112.0
TGV INOUI;QUIMPERLE;87476317;VANNES;87476606;2;Tarif Normal;12.9;18.0
TGV INOUI;LYON PERRACHE;87722025;NARBONNE;87781104;1;Tarif Réglementé;112.0;112.0
TGV INOUI;AGEN;87586008;NARBONNE;87781104;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MOUCHARD;87718833;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;112.0;112.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;LYON PERRACHE;87722025;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;VALENCE VILLE;87761007;TOULOUSE MATABIAU;87611004;1;Tarif Réglementé;112.0;112.0
TGV INOUI;ANGERS ST LAUD;87484006;MORLAIX;87474338;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;AGDE;87781278;BEAUNE;87713545;1;Tarif Avantage;17.0;113.0
TGV INOUI;ANGERS ST LAUD;87484006;PARIS AUSTERLITZ;87547000;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;THIONVILLE;87191007;1;Tarif Avantage;17.0;113.0
TGV INOUI;ANGERS ST LAUD;87484006;QUIMPER;87474098;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;BORDEAUX ST JEAN;87581009;VENDOME VILLIERS SUR LOIR;87571216;1;Tarif Avantage;20.5;113.0
TGV INOUI;ANGOULEME;87583005;ORTHEZ;87672253;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;STRASBOURG;87212027;BOURG EN BRESSE;87743005;1;Tarif Normal;24.5;113.0
TGV INOUI;ANGOULEME;87583005;VENDOME VILLIERS SUR LOIR;87571216;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;AVIGNON CENTRE;87765008;NICE VILLE;87756056;1;Tarif Normal;29.5;113.0
TGV INOUI;ANNEMASSE;87745497;AVIGNON CENTRE;87765008;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;HENDAYE;87677005;ANGOULEME;87583005;1;Tarif Normal;29.5;113.0
TGV INOUI;ARLES;87753657;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ORTHEZ;87672253;POITIERS;87575001;1;Tarif Normal;29.5;113.0
TGV INOUI;AVIGNON CENTRE;87765008;NICE VILLE;87756056;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
